FNR,STATUS,NAME,SITZ,RECHTSFORM_CODE,RECHTSFORM_TEXT,GERICHT_CODE,GERICHT_TEXT
183107a,gelöscht,"""AAA"" Informationsvermittlung GmbH in Liqu.",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
112136g,gelöscht,AAA Insurance Brokers Versicherungs- makler GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
410250i,,AAA Liven GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
208773w,gelöscht,AAA Private Investments Vermögensver- waltung GmbH in Liquidation,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
064938y,gelöscht,AAA+ Software Forschungs- und Entwicklungs-GmbH.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
252665t,gelöscht,AAA Strategic Finance Finanz- beratungs GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
226761y,gelöscht,AAA Verpackungen & Logistik Ges.m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
493296k,,AAA Wirtschaftsprüfung - Steuerberatung - Management Consulting,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
157804s,,AAA 3 Ampere Aqua Art Haustechnik GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
239536i,gelöscht,AAACES - ALPHA AIR AMBULANCE CHARTER - EXECUTIVE SERVICES GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
110052t,gelöscht,"AAANOVO Riesenauswahl Betriebsobjekte, Betriebsansiedlung-, Consulting- und",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
057931v,gelöscht,AAB Capital Advisors GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
276390g,,AAB Gastro GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
076554f,gelöscht,AAB Investment GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
309208v,gelöscht,Aabar Automotives GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
309218h,gelöscht,Aabar Europe Holdings GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
302178f,gelöscht,Aabar Falcon Holding GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
309210x,gelöscht,Aabar Infrastructure GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
309209w,gelöscht,Aabar Infrastructure Holdings GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
096165w,gelöscht,Aabbaa Royal Immobilien GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
542491g,,AAC - ALL ABOUT COFFEE GMBH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
